entidad_a,enticve1,numeral,nombre1,rnspni1,nombre2,elepro1,elepro2,elepro3,elepro4,elepro5,elepro6,elepro7,elepro8,elepro9,elepro10,elepro11,elepro12,elepro13
17,17,22,INSTITUTO MORELENSE DE LAS PERSONAS ADOLESCENTES Y JOVENES,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
17,17,23,FONDO ESTATAL PARA LA ADMINISTRACION Y OPERACION DEL RECINTO DEPORTIVO AGUSTIN CORUCO DIAZ,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,,,,,
17,17,24,PROCURADURIA DE PROTECCION AL AMBIENTE DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,,,,,
17,17,25,COMISION ESTATAL DE BIODIVERSIDAD,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,26,COMISION DE BUSQUEDA DE PERSONAS DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,,,,,
17,17,27,JUNTA LOCAL DE CONCILIACION Y ARBITRAJE DEL ESTADO DE MORELOS,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,28,COMISION ESTATAL DE EVALUACION DEL DESARROLLO SOCIAL,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
17,17,29,FONDO ESTATAL PARA LA PROMOCION Y DESARROLLO DE EVENTOS VINCULADOS CON LA CULTURA Y EL TURISMO,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,,,,,
17,17,30,PROCURADURIA ESTATAL DE LA DEFENSA DEL TRABAJO,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,,,,,
17,17,31,CENTRO ESTATAL DE PREVENCION SOCIAL DE LA VIOLENCIA Y DELINCUENCIA CON PARTICIPACION CIUDADANA,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,32,COMISION EJECUTIVA DE ATENCION Y REPARACION A VICTIMAS DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,,,,,
17,17,33,COMISION ESTATAL DEL AGUA,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,1,,,,,,,
17,17,34,COORDINACION ESTATAL DE PROTECCION CIVIL MORELOS,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,35,COMISION ESTATAL DE MEJORA REGULATORIA,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,36,INSTITUTO MORELENSE DE RADIO Y TELEVISION,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,37,INSTITUTO PROVETERANOS DE LA REVOLUCION DEL SUR,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,,1,,,1,,,,,,,,
17,17,38,COMISION ESTATAL DE RESERVAS TERRITORIALES,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,39,INSTITUTO DE SERVICIOS REGISTRALES Y CATASTRALES DEL ESTADO DE MORELOS,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
17,17,40,INSTITUTO DE LA DEFENSORIA PUBLICA DEL ESTADO DE MORELOS,1,REGLAMENTO INTERIOR DE LA SECRETARIA DE ADMINISTRACION ARTICULO 11 FRACCION XXI,1,1,,,1,,,,1,,,,
17,17,41,INSTITUTO DE CREDITO PARA LOS TRABAJADORES AL SERVICIO DEL GOBIERNO DEL ESTADO DE MORELOS,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
17,17,42,COMISION ESTATAL DE ARBITRAJE MEDICO,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
